"accession","gene.name"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"A4_MOUSE","App"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AACS_MOUSE","Aacs"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAK1_MOUSE","Aak1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB1_MOUSE","Prkab1"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKB2_MOUSE","Prkab2"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAKG1_MOUSE","Prkag1"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAMDC_MOUSE","Aamdc"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AAPK1_MOUSE","Prkaa1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AASD1_MOUSE","Aarsd1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATC_MOUSE","Got1"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"AATM_MOUSE","Got2"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB6_MOUSE","Abcb6"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCB7_MOUSE","Abcb7"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD1_MOUSE","Abcd1"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCD3_MOUSE","Abcd3"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCE1_MOUSE","Abce1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF1_MOUSE","Abcf1"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF2_MOUSE","Abcf2"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
